Kırsal alanda hangi tarihi unsurların korunması amaçlanmaktadır?,Tarihi binalar ve kültürel mirasın korunması amaçlanmaktadır.
Kırsal kalkınmada STK'ların güçlendirilmesi neden önemlidir?,"Türkiye'nin merkeziyetçi ve bürokratik yapıları nedeniyle yöre, havza ve köy düzeyi kalkınma gereksinimlerinin karşılanması için STK'ların güçlendirilmesi önemlidir."
Türkiye'nin kırsal kalkınma stratejisinin güçlü yönleri nelerdir?,"Doğal kaynaklar ve biyo çeşitliliğin zenginliği, geniş tarım alanlarının varlığı, çevre kirliliğinin az olması, organik tarım potansiyeli, kültürel zenginlik, tarımsal sanayi girdilerinin çeşitliliği, ulaşım ve haberleşme olanaklarının artması, çiftçilerin bilinçlenme isteği, kamu kuruluşlarının yaygınlığı, organik tarım ürünlerine talebin artması, organize tarım ve hayvancılık bölgelerinin oluşması ve özel sektörün yatırım yapma eğiliminin artması."
Kırsal kalkınma stratejisinde doğal kaynaklar açısından hangi güçlü yönler belirtilmiştir?,Doğal kaynaklar ve biyo çeşitliliğin zenginliği ile geniş tarım alanlarının varlığı.
Kültürel zenginlik ve toplumsal dayanışma kırsal kalkınma stratejisinde nasıl bir rol oynamaktadır?,"Kültürel zenginlik ve toplumsal dayanışma, kırsal kalkınma stratejisinin güçlü yönleri arasında yer alarak, politika belirleme ve uygulama süreçlerinde önemli bir avantaj sağlamaktadır."
Organik tarım potansiyelinin kırsal kalkınma üzerindeki etkisi nedir?,"Organik tarım potansiyeli, çevre kirliliğinin az olması ve dünya genelinde organik tarım ürünlerine talebin artması nedeniyle kırsal kalkınma için önemli bir fırsat sunmaktadır."
Kırsal kalkınma stratejisinde ulaşım ve haberleşme olanaklarının artmasının önemi nedir?,"Ulaşım ve haberleşme olanaklarının artması, kırsal alanlarda iletişim ve erişim imkanlarını geliştirerek ekonomik ve sosyal kalkınmaya katkı sağlamaktadır."
Özel sektörün kırsal alanda yatırım yapma eğiliminin artması nasıl bir etki yaratmaktadır?,"Özel sektörün kırsal alanda yatırım yapma eğiliminin artması, ekonomik kalkınmayı hızlandırarak kırsal bölgelerde istihdam ve gelir düzeyini artırabilir."
Kamu kuruluşlarının ve taşra teşkilatının yaygınlığı kırsal kalkınma stratejisinde nasıl bir avantaj sağlamaktadır?,"Kamu kuruluşlarının ve taşra teşkilatının yaygınlığı, kırsal kalkınma politikalarının etkin bir şekilde uygulanmasına ve hizmetlerin kırsal alanlara ulaştırılmasına olanak tanımaktadır."
Tarımsal ürünlerin uluslararası pazarlara yakın olması hangi güçlü yanlardan biridir?,"Coğrafi konum itibarıyla uluslararası pazarlara yakınlık, tarımsal ürünlerin değerlendirilmesi için bir güçlü yan olarak belirtilmiştir."
Kırsal alanda girişimcilik potansiyelini harekete geçirebilecek hangi güçlü yanlar bulunmaktadır?,"Yerel ve geleneksel üretim potansiyellerinin harekete geçirilebilirliği, kırsal alanda girişimcilik potansiyelini artırabilecek güçlü yanlardan biridir."
Tarımda çalışabilir nüfus potansiyelinin artmasına hangi faktörler katkıda bulunmaktadır?,"Özellikle genç nüfus varlığı, tarımda çalışabilir nüfus potansiyelinin artmasına katkıda bulunmaktadır."
Kırsal kalkınma konusunda hangi uluslararası deneyimler güçlü yanlar arasında yer almaktadır?,Kırsal kalkınma konusunda uluslararası proje deneyimleri güçlü yanlar arasında yer almaktadır.
Tarımda kayıt dışılığın yüksek olması hangi zayıf yanlardan biridir?,Tarımda ve tarımsal taşınmazlarda kayıt dışılığın yüksekliği zayıf yanlardan biridir.
Kırsal alanda kişi başına GSYİH'nin düşük olması hangi zayıf yanla ilişkilidir?,Kırsal alanda kişi başına GSYİH'nin ülke ortalamasından az olması zayıf yanla ilişkilidir.
Tarımda verimliliğin düşük olması ve üretim maliyetlerinin yüksekliği hangi zayıf yanları oluşturur?,"Tarımda verimliliğin düşük olması ve üretim maliyetlerinin yüksekliği, tarım sektöründe önemli zayıf yanları oluşturur."
Küreselleşmenin hangi alanlarda etkileri olduğu belirtilmiştir?,Küreselleşmenin tarım ve orman alanlarının kullanımı üzerine etkileri olduğu belirtilmiştir.
Tarımda yapısal uyum politikalarının ne tür etkileri vardır?,Tarımda yapısal uyum politikalarının belirsizlikler getirdiği belirtilmiştir.
Hızlı kentleşmenin doğal kaynaklar üzerindeki etkisi nedir?,Hızlı kentleşmenin doğal kaynaklar üzerinde baskı oluşturduğu belirtilmiştir.
Doğal kaynakların hangi şekillerde kullanıldığı belirtilmiştir?,Doğal kaynakların bilinçsiz olarak kullanıldığı ve kirletildiği belirtilmiştir.
Hangi çevresel faktörlerin etkilerinden bahsedilmiştir?,Erozyon ve iklim değişikliklerinin yarattığı etkilerden bahsedilmiştir.
Hukuksal yatırımların uygulanmasında ne tür sorunlar yaşanmaktadır?,Hukuksal yatırımların uygulanmasında sorunlar ve kararlılık eksikliği yaşandığı belirtilmiştir.
Metinde hangi kaynaklardan alıntılar yapılmıştır?,"Metinde çeşitli kaynaklardan, örneğin Chambers, R.-Others, DİE, DPT, KHGM, Korten, D.C., Long, N.-Long, A., TKB, Uslu, K., ve Worldbank gibi kaynaklardan alıntılar yapılmıştır."
Türkiye Cumhuriyeti Anayasası'nda sosyal güvenlik hakkı nasıl tanımlanmıştır?,"Türkiye Cumhuriyeti 1982 Anayasası’nda 'herkes sosyal güvenlik hakkına sahiptir. Devlet, bu güvenliği sağlayacak gerekli önlemleri alır ve teşkilatı kurar' ifadesi bulunmaktadır."
Türkiye'de tarım sektörü sosyal güvenlik sistemine ne zaman dahil edilmiştir?,"Tarım sektörü, sanayi ve hizmetler sektörüne göre sosyal güvenlik sistemine daha geç bir dönemde alınmıştır."
Kırsal kesimde yaşayanların karşılaştığı başlıca riskler nelerdir?,"Kırsal kesimde yaşayanların hayatlarını olumsuz etkileyen başlıca riskler; ölüm, yaşlılık, hastalık, doğum, kaza, işveren sorumluluğu, işsizlik ve üçüncü kişi ve varlıkların oluşturduğu hasarlardır."
Türkiye'de küçük araziye sahip işletmelerin oranı 1950 ve 2001 yıllarında nasıldı?,"1950 yılında 100 da ve daha küçük araziye sahip işletmelerin oranı % 84,0 ve işledikleri alanın toplam içindeki payı % 39,3 iken, bu oranlar 2001 yılında sırasıyla % 83,4 ve % 42,0 olmuştur."
Türkiye'de tarımda çalışanlar için hangi sosyal güvenlik yasaları bulunmaktadır?,"Tarımda çalışanlar için üç farklı yasa bulunmaktadır: 506 Sayılı Sosyal Sigortalar Kanunu, 2925 Sayılı Tarım İşçileri Sosyal Sigortalar Kanunu ve 2926 Sayılı Tarımda Kendi Adına ve Hesabına Çalışanlar Sosyal Sigortalar Kanunu."
Çiftçilerin sosyal güvenlik sistemine katılımı ne zaman başlamıştır?,"Çiftçilerin sosyal güvenlik sistemine katılımı, sanayici ve tüccarlara göre daha geç olmuştur."
Kırsal kesimde devlet destekli sosyal güvenlik uygulamasının yaygınlaştırılması neden önemlidir?,"Kırsal kesimde yaşayanların gelir düzeylerinin düşük olması ve bireysel emeklilik, özel sağlık ve yaşam sigortası poliçelerini satın alma olanaklarının sınırlı olması nedeniyle devlet destekli sosyal güvenlik uygulamasının yaygınlaştırılması kaçınılmaz olmaktadır."
Bağkur hangi kanunla tarımda kendi adına ve hesabına çalışanları kapsama almıştır?,17.10.1983 tarih ve 2926 sayılı Tarımda Kendi Ad ve Hesabına Çalışanlar Sosyal Sigortalar Kanunu ile dahil edilmiştir.
2926 Sayılı Kanun'a göre tarımda çalışan hangi yaş gruplarındaki kişiler zorunlu sigortalı sayılmaktadır?,22 yaşını doldurmuş erkekler ve 22 yaşını doldurmuş aile reisi kadınlar zorunlu sigortalı sayılmaktadır.
2926 Sayılı Kanun kapsamında sigortalılara hangi yardımlar yapılmaktadır?,"Malullük aylığı, yaşlılık aylığı, yaşlılık toptan ödemesi, ölüm aylığı, ölüm toptan ödemesi, cenaze yardımı ve sağlık yardımı yapılmaktadır."
Sigortalıların yaşlılık aylığından yararlanabilmesi için hangi şartlar gereklidir?,"25 tam yıl prim ödemek ve kadınlarda 58, erkeklerde ise 60 yaş koşulunu sağlamak gereklidir."
Tarımda kendi adına ve hesabına çalışanlar prim borçlarını nasıl ödeyeceklerdir?,Prim borçlarını üçer aylık dönemler halinde ödeyeceklerdir.
Bağkur'un prim tahsilat oranını yükseltmek için hangi önlem alınmıştır?,2926 sayılı Kanuna tabi sigortalıların prim borçlarının ürün bedellerinden %1 oranında tevkif suretiyle tahsil edilmesine başlanmıştır.
Tarımsal faaliyette bulunanlar nasıl tanımlanmıştır?,"Kendi mülkünde, ortaklık veya kiralamak suretiyle başkalarının mülkünde, kamuya ait mahallerde ekim, dikim, bakım, üretim, yetiştirme ve ıslah yollarıyla veya doğrudan doğadan yararlanarak bitki, orman, hayvan ve su ürünlerinin üretimini, avlanmasını, muhafazasını, taşınmasını sağlayan veya bu ürünlerden faydalanan kişiler olarak tanımlanmıştır."
"Üreticiler, ürün bedeli üzerinden yapılan kesintiyi nasıl değerlendirmektedir?","Üreticiler, ürün bedeli üzerinden yapılan %1'lik kesintiyi yüksek olarak değerlendirmektedir."
Tarımda iş ve çalışma güvenliğinin sağlanmasına yönelik gelişmeler ne düzeydedir?,Tarımda iş ve çalışma güvenliğinin sağlanmasına yönelik gelişmeler tatmin edici düzeyde değildir.
506 sayılı Sosyal Sigortalar Kanunu'na göre hangi tarım işçilerine sosyal güvenlik olanağı sağlanmıştır?,"Kamu kesimine ait tarım ve orman işlerinde ücretle, özel sektöre ait tarım ve orman işlerinde ücretli ve sürekli olarak çalışan tarım işçilerine sosyal güvenlik olanağı sağlanmıştır."
2925 Sayılı Tarım İşçileri Sosyal Sigortalar Kanunu ne zaman kabul edilmiştir?,"2925 Sayılı Tarım İşçileri Sosyal Sigortalar Kanunu, 17.10.1983 tarihinde kabul edilmiştir."
2925 Sayılı Kanun ile hangi risklere karşı tarım işçileri sigortalanmaktadır?,"2925 Sayılı Kanun ile tarım işçileri iş kazaları, meslek hastalıkları, diğer hastalıklar, malullük, yaşlılık ve ölüm riskine karşı sigortalanmaktadır."
"2925 Sayılı Kanun, tarım işçilerine hangi sigorta hakkını getirmektedir?","2925 Sayılı Kanun, tarım işçilerine isteğe bağlı bir sigorta hakkı getirmektedir."
Süreksiz iş nedir ve hangi işleri kapsamaktadır?,"Süreksiz iş, nitelikleri bakımından en çok 30 işgünü süren işleri kapsamaktadır."
2925 sayılı Kanun hangi tarihte yürürlüğe girmiştir?,1 Ocak 1984 tarihinde yürürlüğe girmiştir.
Mevsimlik tarım işçilerinin sosyal güvenlikten haberdar olmama durumu hangi çalışmalarda belirtilmiştir?,Aksoy 1993 ve Aksoy vd. 1994 çalışmalarında belirtilmiştir.
2925 sayılı Kanuna göre tarım işçilerinin toplam prim oranı nedir?,Toplam prim oranı %20’dir.
2925 sayılı Kanuna göre sigortalı olan tarım işçileri hangi avantajdan yararlanamamaktadır?,Sağlık avantajından yararlanamamaktadırlar.
1984 yılında SSK tarafından sigortalanan toplam tarım sigortalı sayısı kaç kişidir?,"17,420 kişidir."
2004 yılında Bağkur tarafından sigorta kapsamına alınan tarım işçilerinin sayısı kaçtır?,"1,009,935 kişidir."
2004 yılında SSK ve Bağkur tarafından sigorta kapsamına alınan toplam üretici ve tarım işçilerinin sayısı nedir?,"1,186,785 kişidir."
1984 yılında toplam aktif tarım sigortaları sayısı kaç kişiydi?,"54,135 kişi"
2004 yılında Bağkur'a kayıtlı aktif tarım sigortalı sayısı kaçtı?,"1,009,935 kişi"
1989 yılında SSK'ya kayıtlı aktif tarım sigortalı sayısı kaçtı?,"74,407 kişi"
Tarımda sosyal güvenlik kapsamındaki aktif sigortalıların toplam sosyal güvenlik kapsamındaki aktif sigortalılara oranı nedir?,"% 3,76"
2925 ve 2926 sayılı Kanuna tabi toplam aktif sigortalıların tarım kesiminde istihdam edilen toplam işgücüne oranı nedir?,"% 7,1"
Sosyal güvenlik kuruluşlarının prim tahsilatlarının giderleri karşılama oranı nedir?,% 68
Hanehalkı reislerinin hangi oranı SSK tarafından sağlanan sosyal güvenceden yararlanmaktadır?,% 40
Çiftçilerin % kaçı Bağkur kapsamında sigortalıdır?,"% 29,3"
2926 sayılı Kanun kapsamında çiftçilerden toplanan primlerin kurum gelirleri içindeki payı nedir?,% 5'in altında
Tarımda kendi hesabına çalışan kişi sayısı ve tarım işçisi sayısı yaklaşık olarak ne kadardır?,"Kendi hesabına çalışan 3,1 milyon kişi ve yaklaşık 1 milyon tarım işçisi"
Tarım çalışanlarının sosyal güvenlik uygulamasının etkinliğinin düşük olmasının üç ana nedeni nedir?,"Yasaların sağladığı güvencelerin yeterlilik derecesi, sosyal sigorta kuruluşlarının işleyişinde karşılaşılan sorunlar ve kırsal nüfusun düşünce, tutum ve davranışlarına bağlı sorunlar"
2925 sayılı Kanun çerçevesinde tarım işçilerinin sigortasının nasıl olması gerekmektedir?,Sigortanın isteğe bağlı olması
Mevsimlik işçilerin 2925 sayılı Kanun gereği prim ödeme durumu nasıldır?,Primlerinin tamamını kendileri ödemek zorundadırlar
Sosyal güvenlik bilincinin kırsal alanda yeterince oluşturulamamasının nedeni nedir?,Sosyal güvenliğin kırsal alana yeterince duyurulamaması ve yararlarının açıklanamaması
Yeşil Kart uygulaması hangi kanun ile başlatılmıştır?,1992 tarih ve 3816 sayılı kanun ile başlatılmıştır.
Yeşil Kart uygulamasının amacı nedir?,Hiçbir sosyal güvenlik garantisine sahip olmayan ve düşük gelirli olan nüfusa sağlık yardımları sağlamaktır.
Yeşil Kart ile hangi sağlık hizmetleri ücretsiz olarak sağlanmaktadır?,"Ayakta tedavi kapsamında muayene, tetkik, tahlil, pansuman, diş çekimi, diş protez, gözlük hizmetleri ve ilaç bedelleri."
Yeşil Kart uygulamasından yararlanma ölçütleri nelerdir?,"Hanenin geliri, mülkiyetine sahip olduğu arazi ve bina ile kişinin hiçbir sosyal güvencesinin olmamasıdır."
Yeşil Kart uygulamasında yapılan değişiklikler hangi tarihte yürürlüğe girmiştir?,"Kanun değişiklikleri 01.01.2005 tarihinde, yönetmelik değişiklikleri ise 22.12.2004 tarihinde yürürlüğe girmiştir."
Yeşil Kart hamili anne ve/veya babanın yeni doğan bebeği için hangi şartlar altında sağlık hizmetleri sağlanmaktadır?,"90 günün aşılmaması kaydıyla, acil tıbbi müdahale ve tedavi gerektiren durumlarda, annenin doğum yaptığı hastanedeki tedavi giderleri ile sevk edildikleri sağlık kurumlarındaki tedaviler sağlanmaktadır."
Türkiye'de 2005 yılı verilerine göre yeşil kart sahibi kişi sayısı kaçtır?,8.951.075 kişi.
Yeşil kart sahiplerinin toplam nüfus içindeki payı nedir?,"% 13,20."
Sosyal güvenlik programlarının kapsadığı nüfusa yeşil kart sahipleri de eklenirse toplam kaç kişi olmaktadır?,70.153.075 kişi.
Türkiye'de kaç sigorta şirketi hayat sigortaları alanında çalışmaktadır?,30 sigorta şirketi.
Hayat sigortası alanında yaklaşık kaç kişiye özel sigorta olanağı sağlanmaktadır?,Yaklaşık 5 milyon kişi.
Kırsal kesimde özel sigorta olanaklarından faydalananların sayısı biliniyor mu?,"Hayır, bilinmemektedir."
Türkiye'de hayat sigortası uygulamaları hangi sektör tarafından yürütülmektedir?,Özel sektör tarafından yürütülmektedir.
soru,cevap
Vizyon 2023 projesinin amacı nedir?,Türkiye'nin gelecek yirmi yıllık bilim ve teknoloji önceliklerini belirlemek ve teknolojik gelişmeleri toplumsal faydaya dönüştürebilen bir refah toplumu yaratmaktır.
Tarım ve Gıda Paneli hangi sektörleri kapsar?,"Tarım ve Gıda Paneli bitkisel üretim, hayvansal üretim, su ürünleri, ormancılık ve mikrobiyal üretim sektörlerini kapsar."
Tarım ve gıda sektörünün Türkiye ekonomisindeki önemi nedir?,"Nüfus ve istihdam, beslenme, sanayiye ham madde temini, milli gelir ve sanayi ürünlerinin tüketicisi olmak yönlerinden önemli bir yere sahiptir."
Sürdürülebilir kalkınma neden önemlidir?,Kaynak kullanımının geleceğin ihtiyaçları ile de tutarlı bir duruma getirilmesi için önemlidir ve tarımsal faaliyetler ile çevre çalışmaları ile yakından ilgilidir.
Tarım ve Gıda Paneli'nde çalışma planı nasıl yapılmıştır?,"Beş ana sektör ayrı ayrı ele alınmış, aynı sistematik içerisinde değerlendirilmiş ve birbiri ile ilişkili olan bölümler bir arada irdelenmiştir."
Bilgi çağının tarımsal üretime etkisi nedir?,"Bilginin edinilmesi, üretilmesi ve muhafazasında sağlanan yeni boyutlar sayesinde tarımsal üretimde 3 ile 28 kat arasında değişen verim artışları elde edilmiştir."
Tarım ve gıda sektörlerinden elde edilecek gelir artışı Türkiye için neden önemlidir?,"Toplum refahı, zenginliği ve yaşam kalitesini arttırmada önemli bir potansiyele sahiptir."
